query_id,question,current_category,current_gold_paragraph_ids,top_candidate_paragraph_ids,top_candidate_score,top_candidate_terms,top_candidate_snippet,flags,suggested_action,rationale
q_019,How often must passwords be changed?,answerable,"internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522,internal_policy_handbook_v2::p0005::i0002::15202f861778","internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522,it_security_addendum_2025::p0007::i0003::2917f3634047,internal_policy_handbook_v2::p0005::i0002::15202f861778,internal_policy_handbook_v2::p0005::i0004::87fb8ce42ed5,it_security_addendum_2025::p0003::i0000::d2a928aa94b0",0.1034,"changed,must,passwords",4. Password and Authentication Policy All employees must use strong passwords for all company systems. Passwords must meet the following min...,ok,keep_as_is,
q_020,What is the policy on data backup frequency?,answerable,"business_continuity_plan::p0006::i0001::1b79d125164c,internal_policy_handbook_v2::p0012::i0002::80abfc6468f1","internal_policy_handbook_v2::p0004::i0004::9087d5809fff,dpia_guide::p0001::i0000::084629488e46,it_security_addendum_2025::p0008::i0003::f2aa763d4638,business_continuity_plan::p0005::i0002::24d4d4d635a9,it_security_addendum_2025::p0007::i0001::10416b99247d",0.0833,data,"Misclassification of data, whether intentional or negligent, constitutes a policy violation and will be investigated by the Data Governance ...",ok,keep_as_is,
q_021,Who is responsible for approving access to confidential systems?,answerable,"internal_policy_handbook_v2::p0005::i0002::15202f861778,internal_policy_handbook_v2::p0006::i0000::4faaf4d92b00","internal_policy_handbook_v2::p0005::i0002::15202f861778,internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,internal_policy_handbook_v2::p0006::i0000::4faaf4d92b00,internal_policy_handbook_v2::p0004::i0000::11385c4051c6,it_security_addendum_2025::p0004::i0002::87db499800ff",0.0909,"access,confidential,systems","Common passwords, dictionary words, and passwords containing the user's name or employee ID are blocked by the password policy engine. Multi...",ok,keep_as_is,
q_022,What training is required for handling personal data?,answerable,"business_continuity_plan::p0007::i0002::14ab85e421af,internal_policy_handbook_v2::p0008::i0002::cb6969c05110","internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0,internal_policy_handbook_v2::p0008::i0000::d1d53fadf698,internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,internal_policy_handbook_v2::p0008::i0001::4df55ab7a272,dpia_guide::p0002::i0001::d91b05d3d9c3",0.1,"data,personal,required","In the event of a personal data breach, the Data Protection Officer (DPO) must be notified immediately. The DPO will determine whether notif...",ok,keep_as_is,
q_023,What happens if an employee breaches the data security policy?,answerable,"internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd,internal_policy_handbook_v2::p0007::i0000::4318c9582a70","internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,it_security_addendum_2025::p0003::i0002::b32589373617,it_security_addendum_2025::p0001::i0000::c97033220ded,internal_policy_handbook_v2::p0004::i0004::9087d5809fff,internal_policy_handbook_v2::p0004::i0000::11385c4051c6",0.0909,"data,security",CONFIDENTIAL data may only be accessed (not downloaded) through the secure container. Employees are responsible for the physical security of...,ok,keep_as_is,
q_024,Are visitors allowed in server rooms?,answerable,"internal_policy_handbook_v2::p0010::i0001::a429d2df3997,internal_policy_handbook_v2::p0010::i0002::ce27530db5f5","it_security_addendum_2025::p0006::i0000::ebbe0ac102b2,internal_policy_handbook_v2::p0010::i0002::ce27530db5f5,it_security_addendum_2025::p0006::i0001::2de87d1b4bda,internal_policy_handbook_v2::p0010::i0001::a429d2df3997,it_security_addendum_2025::p0006::i0002::7973e328680d",0.1111,"rooms,server,visitors","5. Visitor Access to Secure Areas Visitors may be granted temporary escorted access to secure areas, including server rooms, under the follo...",ok,keep_as_is,
q_025,What is the policy on sharing passwords?,answerable,"it_security_addendum_2025::p0008::i0000::62b34b482a0a,internal_policy_handbook_v2::p0005::i0002::15202f861778","it_security_addendum_2025::p0008::i0003::f2aa763d4638,internal_policy_handbook_v2::p0005::i0003::ab1eec4f856f,internal_policy_handbook_v2::p0005::i0001::33c21bb359ec,it_security_addendum_2025::p0008::i0000::62b34b482a0a,it_security_addendum_2025::p0008::i0002::de89668d0686",0.0714,sharing,Digital sharing of RESTRICTED data requires the use of the company's secure data room solution with full audit logging.,ok,keep_as_is,
q_026,How should data breaches be reported?,answerable,"internal_policy_handbook_v2::p0007::i0000::4318c9582a70,internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0","internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,internal_policy_handbook_v2::p0004::i0004::9087d5809fff,dpia_guide::p0001::i0000::084629488e46,internal_policy_handbook_v2::p0007::i0000::4318c9582a70,it_security_addendum_2025::p0008::i0003::f2aa763d4638",0.0952,"data,reported",CONFIDENTIAL data may only be accessed (not downloaded) through the secure container. Employees are responsible for the physical security of...,ok,keep_as_is,
q_027,What classification levels exist for company data?,answerable,"internal_policy_handbook_v2::p0004::i0000::11385c4051c6,internal_policy_handbook_v2::p0012::i0001::c7df2f0fd915","dpia_guide::p0001::i0000::084629488e46,internal_policy_handbook_v2::p0001::i0000::cdb4351a4c4c,it_security_addendum_2025::p0001::i0000::c97033220ded,hr_procedures_manual::p0001::i0000::269fd6c9de54,internal_policy_handbook_v2::p0004::i0004::9087d5809fff",0.1429,"classification,data",Data Protection Impact Assessment Guide Version 2.0 - January 2025 Classification: INTERNAL,ok,keep_as_is,
q_028,Are USB drives permitted on company computers?,answerable,"it_security_addendum_2025::p0005::i0000::6eabd902931d,internal_policy_handbook_v2::p0009::i0001::473f875998b1","internal_policy_handbook_v2::p0011::i0002::efe2f14d1100,it_security_addendum_2025::p0005::i0002::428ac0906786,it_security_addendum_2025::p0005::i0000::6eabd902931d,it_security_addendum_2025::p0006::i0003::c0f6477bfc95,internal_policy_handbook_v2::p0009::i0001::473f875998b1",0.0833,"computers,drives,permitted",Local storage of records on desktop computers or personal drives is not permitted for compliance-critical documents. When the retention peri...,ok,keep_as_is,
q_029,What is the clean desk policy?,answerable,"internal_policy_handbook_v2::p0010::i0002::ce27530db5f5,it_security_addendum_2025::p0007::i0001::10416b99247d","it_security_addendum_2025::p0007::i0001::10416b99247d,internal_policy_handbook_v2::p0010::i0002::ce27530db5f5,business_continuity_plan::p0005::i0004::6eab47bb0125,internal_policy_handbook_v2::p0009::i0001::473f875998b1,internal_policy_handbook_v2::p0015::i0000::6df99b46d995",0.0606,"clean,desk","Each quarterly module will focus on a specific topic: Q1 -- Phishing and Social Engineering, Q2 -- Data Handling and Classification, Q3 -- I...",ok,keep_as_is,
q_030,How long should records be retained?,answerable,"internal_policy_handbook_v2::p0011::i0000::8fcca5a66916,internal_policy_handbook_v2::p0011::i0001::e39835111609","hr_procedures_manual::p0007::i0003::d7c4d5d65724,internal_policy_handbook_v2::p0011::i0000::8fcca5a66916,dpia_guide::p0004::i0000::f474a88a8052,internal_policy_handbook_v2::p0011::i0001::e39835111609,internal_policy_handbook_v2::p0007::i0004::44c5ec0e0504",0.0769,retained,Expired warnings are retained but not used as active precedents unless there is a pattern of similar behaviour.,ok,keep_as_is,
q_031,What is the acceptable use policy for company email?,answerable,"internal_policy_handbook_v2::p0009::i0000::40d044dc00be,internal_policy_handbook_v2::p0007::i0000::4318c9582a70","internal_policy_handbook_v2::p0009::i0000::40d044dc00be,it_security_addendum_2025::p0008::i0003::f2aa763d4638,it_security_addendum_2025::p0005::i0001::8128e3a48c24,internal_policy_handbook_v2::p0013::i0000::0e461b7f55bc,internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522",0.1071,"acceptable,email,use","8. Acceptable Use of IT Resources Company IT resources, including email, internet, software, and hardware, are provided for business purpose...",ok,keep_as_is,
q_032,Can employees install personal software on work devices?,answerable,"internal_policy_handbook_v2::p0009::i0000::40d044dc00be,internal_policy_handbook_v2::p0016::i0000::7031df474a89","internal_policy_handbook_v2::p0009::i0000::40d044dc00be,internal_policy_handbook_v2::p0003::i0002::4ff99839f515,internal_policy_handbook_v2::p0014::i0000::22101d8d9bb7,internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,internal_policy_handbook_v2::p0009::i0001::473f875998b1",0.1379,"devices,personal,software,work","8. Acceptable Use of IT Resources Company IT resources, including email, internet, software, and hardware, are provided for business purpose...",ok,keep_as_is,
q_033,What multi-factor authentication methods are approved?,answerable,internal_policy_handbook_v2::p0005::i0002::15202f861778,"internal_policy_handbook_v2::p0005::i0002::15202f861778,it_security_addendum_2025::p0013::i0002::173ec5e73a54,internal_policy_handbook_v2::p0012::i0000::8c990442c9de,internal_policy_handbook_v2::p0017::i0001::66b2f991f2d1,dpia_guide::p0006::i0000::cd80757c80bd",0.0909,"authentication,factor,multi","Common passwords, dictionary words, and passwords containing the user's name or employee ID are blocked by the password policy engine. Multi...",ok,keep_as_is,
q_034,What are the rules for connecting personal devices to the company network?,answerable,"it_security_addendum_2025::p0004::i0001::6729c3546e07,hr_procedures_manual::p0009::i0002::7121ca2702e5","it_security_addendum_2025::p0004::i0001::6729c3546e07,internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,internal_policy_handbook_v2::p0015::i0002::e695f02f6cd9,internal_policy_handbook_v2::p0014::i0002::051345293182,it_security_addendum_2025::p0004::i0002::87db499800ff",0.0882,"devices,network,personal",Session recording is enabled for all privileged remote access sessions. Split-tunnel VPN configurations are no longer permitted. All network...,ok,keep_as_is,
q_035,How frequently should security awareness training be completed?,answerable,"business_continuity_plan::p0007::i0002::14ab85e421af,it_security_addendum_2025::p0007::i0000::2e1e33ef9b59","it_security_addendum_2025::p0007::i0000::2e1e33ef9b59,business_continuity_plan::p0007::i0002::14ab85e421af,internal_policy_handbook_v2::p0008::i0002::cb6969c05110,internal_policy_handbook_v2::p0008::i0000::d1d53fadf698,hr_procedures_manual::p0004::i0001::dd27fc0421a8",0.1818,"awareness,completed,security,training","6. Training Frequency Security awareness training must be completed quarterly by all employees, superseding the annual requirement in the ha...",ok,keep_as_is,
q_036,What remote work equipment does the company provide?,answerable,"internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd,internal_policy_handbook_v2::p0003::i0002::4ff99839f515","internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd,internal_policy_handbook_v2::p0003::i0002::4ff99839f515,it_security_addendum_2025::p0010::i0002::c1185648ca2d,business_continuity_plan::p0006::i0001::1b79d125164c,internal_policy_handbook_v2::p0003::i0000::06a108ae6638",0.1176,"equipment,provide,remote,work",The company reserves the right to revoke remote work privileges with 5 working days notice if performance targets are not met or if security...,ok,keep_as_is,
q_037,What are the working hours for remote employees?,answerable,"business_continuity_plan::p0006::i0001::1b79d125164c,internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd","business_continuity_plan::p0006::i0001::1b79d125164c,internal_policy_handbook_v2::p0003::i0002::4ff99839f515,internal_policy_handbook_v2::p0003::i0001::15d93e095fce,internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd,it_security_addendum_2025::p0004::i0000::66b6d23278dd",0.0968,"hours,remote,working","Work relocation options include: remote working (for disruptions affecting office premises), relocation to the backup office site (Building ...",ok,keep_as_is,
q_038,Is manager approval required before sharing data externally?,answerable,"it_security_addendum_2025::p0008::i0000::62b34b482a0a,dpia_guide::p0003::i0001::43221c9c8b2c","it_security_addendum_2025::p0008::i0000::62b34b482a0a,it_security_addendum_2025::p0008::i0002::de89668d0686,it_security_addendum_2025::p0008::i0001::e4c0ec5f558d,it_security_addendum_2025::p0008::i0003::f2aa763d4638,internal_policy_handbook_v2::p0004::i0003::4d117dedb93a",0.1379,"approval,data,manager,sharing","7. Data Sharing Approval Process For operational efficiency, sharing of INTERNAL-classified data with approved external partners does not re...",ok,keep_as_is,
q_039,What is the incident response procedure for cyber attacks?,answerable,"internal_policy_handbook_v2::p0007::i0000::4318c9582a70,internal_policy_handbook_v2::p0007::i0001::c32c457ea545","internal_policy_handbook_v2::p0007::i0000::4318c9582a70,business_continuity_plan::p0002::i0000::55b3a34589dd,it_security_addendum_2025::p0007::i0001::10416b99247d,internal_policy_handbook_v2::p0008::i0003::85b04a762dab,business_continuity_plan::p0003::i0002::5cd506df2a59",0.0625,"incident,response",6. Incident Response and Data Breach Procedures All suspected security incidents must be reported to the Security Operations Centre (SOC) wi...,ok,keep_as_is,
q_040,Are employees required to use VPN when working remotely?,answerable,"it_security_addendum_2025::p0004::i0000::66b6d23278dd,internal_policy_handbook_v2::p0005::i0002::15202f861778","it_security_addendum_2025::p0012::i0002::3aacdb1f0e2f,internal_policy_handbook_v2::p0003::i0002::4ff99839f515,internal_policy_handbook_v2::p0003::i0001::15d93e095fce,internal_policy_handbook_v2::p0005::i0002::15202f861778,it_security_addendum_2025::p0008::i0003::f2aa763d4638",0.0714,"required,working",All secrets must be managed through the approved vault solution. Security architecture review is required for all new services and significa...,ok,keep_as_is,
q_041,What is the policy on social media use during work?,answerable,"business_continuity_plan::p0004::i0002::ed7e403ae057,hr_procedures_manual::p0009::i0001::1646c1c409f6","business_continuity_plan::p0004::i0001::fb4cd4422cb3,business_continuity_plan::p0004::i0002::ed7e403ae057,internal_policy_handbook_v2::p0009::i0000::40d044dc00be,internal_policy_handbook_v2::p0003::i0002::4ff99839f515,internal_policy_handbook_v2::p0014::i0000::22101d8d9bb7",0.0909,"during,media",External communication during a crisis is managed exclusively by the Head of Communications. No other employee is authorised to make stateme...,ok,keep_as_is,
q_042,How should confidential documents be disposed of?,answerable,"internal_policy_handbook_v2::p0018::i0001::b2fe32907cad,internal_policy_handbook_v2::p0011::i0002::efe2f14d1100","internal_policy_handbook_v2::p0010::i0003::43c21606f16d,internal_policy_handbook_v2::p0011::i0002::efe2f14d1100,internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,internal_policy_handbook_v2::p0004::i0000::11385c4051c6,it_security_addendum_2025::p0002::i0000::ab99db463f25",0.0606,"disposed,documents","At the end of each working day, employees must: clear all documents from desks, lock filing cabinets, lock computer screens, and secure any ...",ok,keep_as_is,
q_043,What cloud storage services are approved for work use?,answerable,"internal_policy_handbook_v2::p0012::i0000::8c990442c9de,it_security_addendum_2025::p0005::i0001::8128e3a48c24","internal_policy_handbook_v2::p0012::i0000::8c990442c9de,it_security_addendum_2025::p0005::i0001::8128e3a48c24,internal_policy_handbook_v2::p0012::i0001::c7df2f0fd915,it_security_addendum_2025::p0005::i0002::428ac0906786,internal_policy_handbook_v2::p0009::i0001::473f875998b1",0.1905,"approved,cloud,services,storage",11. Cloud Services and Storage Only cloud storage services approved by the IT department may be used for company data. The current approved ...,ok,keep_as_is,
q_044,Must remote work be from a fixed location or can employees work from anywhere?,answerable,"internal_policy_handbook_v2::p0003::i0000::06a108ae6638,it_security_addendum_2025::p0004::i0000::66b6d23278dd","internal_policy_handbook_v2::p0003::i0000::06a108ae6638,internal_policy_handbook_v2::p0003::i0002::4ff99839f515,internal_policy_handbook_v2::p0009::i0004::3c0e386f6828,it_security_addendum_2025::p0007::i0003::2917f3634047,it_security_addendum_2025::p0010::i0002::c1185648ca2d",0.1143,"location,must,remote,work","2. Remote Work Policy Employees are permitted to work remotely up to 3 days per week, subject to line manager approval. Remote work arrangem...",ok,keep_as_is,
q_045,What is the maximum number of failed login attempts before lockout?,answerable,"it_security_addendum_2025::p0003::i0001::327dc7c43423,internal_policy_handbook_v2::p0005::i0003::ab1eec4f856f","internal_policy_handbook_v2::p0005::i0003::ab1eec4f856f,it_security_addendum_2025::p0003::i0002::b32589373617,it_security_addendum_2025::p0003::i0001::327dc7c43423,hr_procedures_manual::p0005::i0001::b5fe0fb0b0f2,dpia_guide::p0003::i0000::2be7a6173462",0.0909,"attempts,failed,login","Sharing passwords with colleagues, contractors, or third parties is strictly prohibited, regardless of seniority or business justification. ...",ok,keep_as_is,
q_046,Is encryption required for both data at rest and in transit?,answerable,"it_security_addendum_2025::p0009::i0000::183a741f2188,it_security_addendum_2025::p0009::i0002::bc360aab40fa","it_security_addendum_2025::p0009::i0000::183a741f2188,it_security_addendum_2025::p0009::i0002::bc360aab40fa,internal_policy_handbook_v2::p0004::i0001::f451aa76ca7f,internal_policy_handbook_v2::p0004::i0004::9087d5809fff,internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0",0.1333,"data,encryption,rest,transit","8. Encryption Standards Update Encryption of sensitive data at rest is mandatory for all CONFIDENTIAL and RESTRICTED data, using AES-256 or ...",ok,keep_as_is,
q_047,Who should be notified in case of a suspected data breach?,answerable,"internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0,internal_policy_handbook_v2::p0007::i0000::4318c9582a70","internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0,internal_policy_handbook_v2::p0007::i0000::4318c9582a70,it_security_addendum_2025::p0003::i0002::b32589373617,internal_policy_handbook_v2::p0004::i0004::9087d5809fff,dpia_guide::p0001::i0000::084629488e46",0.1,"breach,data,notified","In the event of a personal data breach, the Data Protection Officer (DPO) must be notified immediately. The DPO will determine whether notif...",ok,keep_as_is,
q_048,What physical security measures are required for offices?,answerable,"internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,it_security_addendum_2025::p0007::i0001::10416b99247d","internal_policy_handbook_v2::p0008::i0003::85b04a762dab,internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,dpia_guide::p0006::i0001::6e74bd76ba04,it_security_addendum_2025::p0003::i0002::b32589373617,it_security_addendum_2025::p0005::i0002::428ac0906786",0.1111,"required,security","Managers are required to complete an additional leadership security module covering their responsibilities for team compliance, access revie...",ok,keep_as_is,
q_049,Can employees access company systems from public Wi-Fi?,answerable,"it_security_addendum_2025::p0004::i0000::66b6d23278dd,internal_policy_handbook_v2::p0006::i0002::968513726043","it_security_addendum_2025::p0004::i0000::66b6d23278dd,internal_policy_handbook_v2::p0015::i0001::d2998ba49253,it_security_addendum_2025::p0004::i0002::87db499800ff,internal_policy_handbook_v2::p0005::i0002::15202f861778,internal_policy_handbook_v2::p0006::i0002::968513726043",0.1471,"access,fi,public,systems,wi","3. Network Access and Remote Connectivity Access to company systems from public Wi-Fi networks is now strictly prohibited, including when us...",ok,keep_as_is,
q_050,What are the consequences of non-compliance with security policies?,answerable,"internal_policy_handbook_v2::p0013::i0000::0e461b7f55bc,dpia_guide::p0006::i0001::6e74bd76ba04","internal_policy_handbook_v2::p0008::i0003::85b04a762dab,business_continuity_plan::p0007::i0003::11c6fd89e99a,it_security_addendum_2025::p0011::i0002::161ab3ee8096,internal_policy_handbook_v2::p0007::i0004::44c5ec0e0504,internal_policy_handbook_v2::p0013::i0000::0e461b7f55bc",0.1176,"compliance,security","Managers are required to complete an additional leadership security module covering their responsibilities for team compliance, access revie...",ok,keep_as_is,
